[verts]
vert: 0 -7.6000000000000005 1.9500000000000002 0
vert: 1 6.75 3.9000000000000004 0
vert: 2 6.75 6.95 0
vert: 3 -7.6000000000000005 6.95 0
vert: 4 -2.7 1.9500000000000002 0
vert: 5 2.15 1.9500000000000002 0
vert: 6 -7.65 -1.9000000000000001 0
vert: 7 -2.7 -1.9000000000000001 0
vert: 8 2.0 -1.9500000000000002 0
vert: 9 6.15 -1.9500000000000002 0
vert: 10 6.15 -5.5 0
vert: 11 -7.65 -5.5 0
vert: 12 -2.7 6.95 1
vert: 13 -2.7 -5.5 1
vert: 14 6.15 -1.9941489361702125 1
vert: 15 2.3423076923076933 6.95 1
vert: 16 2.3423076923076933 6.95 1
[walls]
wall: 0 3 2 0.0 10.0 -1.0 -1.0 255 0 0 0 1
wall: 1 2 1 0.0 10.0 -1.0 -1.0 255 0 0 0 0
wall: 2 3 0 0.0 10.0 -1.0 -1.0 255 0 0 0 0
wall: 3 0 4 0.0 10.0 -1.0 -1.0 255 0 0 0 0
wall: 4 4 5 0.0 10.0 2.0 6.0 0 0 255 0 0
wall: 5 5 1 0.0 10.0 -1.0 -1.0 255 0 0 0 0
wall: 6 5 8 0.0 10.0 -1.0 -1.0 255 0 0 0 0
wall: 7 4 7 0.0 10.0 -1.0 -1.0 255 0 0 0 0
wall: 8 8 7 0.0 10.0 2.0 6.0 0 0 255 0 0
wall: 9 6 7 0.0 10.0 -1.0 -1.0 0 255 0 0 0
wall: 10 9 8 0.0 10.0 -1.0 -1.0 0 255 0 0 0
wall: 11 9 10 0.0 19.0 -1.0 -1.0 0 255 0 0 1
wall: 12 10 11 0.0 10.0 -1.0 -1.0 0 255 0 0 1
wall: 13 11 6 0.0 10.0 -1.0 -1.0 0 255 0 0 0
wall: 14 12 2 0.0 10.0 -1.0 -1.0 255 0 0 1 0
wall: 15 3 12 0.0 10.0 -1.0 -1.0 255 0 0 1 0
wall: 16 13 11 0.0 10.0 -1.0 -1.0 0 255 0 1 0
wall: 17 10 13 0.0 10.0 -1.0 -1.0 0 255 0 1 0
wall: 18 14 10 0.0 19.0 -1.0 -1.0 0 255 0 1 0
wall: 19 9 14 0.0 19.0 -1.0 -1.0 0 255 0 1 0
wall: 20 15 2 0.0 10.0 -1.0 -1.0 255 0 0 1 0
wall: 21 12 15 0.0 10.0 -1.0 -1.0 255 0 0 1 0
wall: 22 16 2 0.0 10.0 -1.0 -1.0 255 0 0 1 0
wall: 23 12 16 0.0 10.0 -1.0 -1.0 255 0 0 1 0
[bsp]
(id=7,front=(id=8,front=(id=17,front=#,back=(id=18,front=#,back=#)),back=(id=6,front=(id=10,front=(id=19,front=#,back=#),back=(id=5,front=(id=1,front=#,back=(id=22,front=#,back=(id=20,front=#,back=#))),back=#)),back=(id=4,front=(id=23,front=#,back=(id=21,front=#,back=#)),back=#))),back=(id=16,front=#,back=(id=9,front=(id=3,front=(id=2,front=(id=15,front=#,back=#),back=#),back=#),back=(id=13,front=#,back=#))))
[end]
